user_id,items_id,score
A100WO06OQR8BQ,B0088CJT4U,4.0
A100WO06OQR8BQ,B003ES5ZUU,5.0
A100WO06OQR8BQ,B000VX6XL6,5.0
A100WO06OQR8BQ,B000HPV3RW,5.0
A100WO06OQR8BQ,B0042FZ50O,2.0
A100WO06OQR8BQ,B00EXK14S0,3.0
A10ZBR6O8S8OCY,B00834SJSK,5.0
A10ZBR6O8S8OCY,B005EM6IAA,5.0
A10ZBR6O8S8OCY,B001CHHVCU,4.0
A10ZBR6O8S8OCY,B003YKG2XM,5.0
A11I1I9QLMAM1A,B0097CZHAU,4.0
A11I1I9QLMAM1A,B00A7PPLP2,5.0
A11I1I9QLMAM1A,B008X9Z3UC,4.0
A11I1I9QLMAM1A,B005FVNHBI,2.0
A11I1I9QLMAM1A,B008ULPCB8,4.0
A11I1I9QLMAM1A,B003VAGXWK,5.0
A11I1I9QLMAM1A,B009PK9S90,5.0
A11I1I9QLMAM1A,B002HWRJBM,5.0
A11I1I9QLMAM1A,B00CD1FB26,4.0
A11I1I9QLMAM1A,B004P8K24W,4.0
A11I1I9QLMAM1A,B005KFONIU,5.0
A11I1I9QLMAM1A,B00FQQ4PNQ,2.0
A11OTLEDSW8ZXD,B0079UAT0A,4.0
A11OTLEDSW8ZXD,B005QCDY50,3.0
A11OTLEDSW8ZXD,B008R7EVE4,5.0
A11OTLEDSW8ZXD,B002VPE1YS,5.0
A12DQZKRKTNF5E,B00834SJNA,5.0
A12DQZKRKTNF5E,B002WE6D44,5.0
A12DQZKRKTNF5E,B00D4MFPLA,4.0
A12DQZKRKTNF5E,B00EFE9OAE,3.0
A12DQZKRKTNF5E,B005DKZTMG,5.0
A12DQZKRKTNF5E,B00746W3HG,4.0
A12DQZKRKTNF5E,B004N6259G,5.0
A12DQZKRKTNF5E,B001PIBE8I,5.0
A12DQZKRKTNF5E,B00CD1FB26,4.0
A12DQZKRKTNF5E,B00429N18S,5.0
A12DQZKRKTNF5E,B003LR7ME6,5.0
A12DQZKRKTNF5E,B0052SCU8U,5.0
A12DQZKRKTNF5E,B009F7IBZK,5.0
A132ETQPMHQ585,B006GWO5WK,1.0
A13MKSASQ6YWL7,B005FVNHBI,3.0
A13MKSASQ6YWL7,B0088PPFP4,4.0
A13MKSASQ6YWL7,B008D97LNE,4.0
A13WOT3RSXKRD5,B004CLYEH8,5.0
A13WOT3RSXKRD5,B00BEHQKPC,4.0
A13WOT3RSXKRD5,B008EQYRRY,5.0
A13WOT3RSXKRD5,B0009YJXMS,5.0
A13WOT3RSXKRD5,B004YQX0SK,4.0
A14DNCG5WHM86Z,B00005T39Y,3.0
A15T9G38F589KM,B00834SJNA,5.0
A15T9G38F589KM,B00E87E1OM,4.0
A15T9G38F589KM,B005HMKKH4,5.0
A15T9G38F589KM,B000Z80ICM,5.0
A15T9G38F589KM,B000RQSGYO,2.0
A16YU3GRGCD95S,B009NHWVIA,5.0
A16YU3GRGCD95S,B006WVR9GY,4.0
A16YU3GRGCD95S,B00DQZO0R0,5.0
A16YU3GRGCD95S,B003WVFAO0,5.0
A17V9XL4CWTQ6G,B002R5AM7C,4.0
A17V9XL4CWTQ6G,B00EOI2TD0,5.0
A17V9XL4CWTQ6G,B003L1ZYZ6,5.0
A17V9XL4CWTQ6G,B005EJH6Z4,5.0
A18ECVX2RJ7HUE,B004CLYJ1Y,4.0
A18ECVX2RJ7HUE,B003VWY0VY,5.0
A18GJ9MYYO6GCQ,B004CLYEFK,5.0
A18GJ9MYYO6GCQ,B008X9Z8NE,5.0
A18GJ9MYYO6GCQ,B00BXF5GKK,5.0
A18GJ9MYYO6GCQ,B000EVSLRO,5.0
A19UTUEBWKIZFT,B005I6EU48,4.0
A19UTUEBWKIZFT,B00A7PPLP2,5.0
A19UTUEBWKIZFT,B009QV72VY,5.0
A19UTUEBWKIZFT,B002J9HBIO,5.0
A19UTUEBWKIZFT,B00CF7E0R0,5.0
A19UTUEBWKIZFT,B003XU6H8I,5.0
A19UTUEBWKIZFT,B003VAHYNC,5.0
A19XMHRB3G4DIR,B004CLYEFK,5.0
A19XMHRB3G4DIR,B005QCDY50,5.0
A19XMHRB3G4DIR,B004CLYEE6,5.0
A19XMHRB3G4DIR,B0056C7SWK,5.0
A19XMHRB3G4DIR,B001B8EOMU,5.0
A19XMHRB3G4DIR,B005KP473Q,5.0
A1B6O7SAIYG2N0,B00FNPD1OY,4.0
A1B6O7SAIYG2N0,B00G2TK76A,5.0
A1B6O7SAIYG2N0,B005KFONIU,4.0
A1B6O7SAIYG2N0,B0012S4APK,5.0
A1E1LEVQ9VQNK,B00G4UQ6U8,5.0
A1E1LEVQ9VQNK,B008X9Z6EA,5.0
A1E1LEVQ9VQNK,B005IMFX2K,5.0
A1E1LEVQ9VQNK,B005DOK8NW,5.0
A1E1LEVQ9VQNK,B000HDJT4S,5.0
A1E1LEVQ9VQNK,B005DOUJL8,5.0
A1E1LEVQ9VQNK,B005QBK5V2,5.0
A1E1LEVQ9VQNK,B00020S7XK,5.0
A1EARN5PUVIF1S,B00D5Q75RC,5.0
A1EVV74UQYVKRY,B0079UAT0A,5.0
A1EVV74UQYVKRY,B004CLYEE6,4.0
A1EVV74UQYVKRY,B00G4V0QSK,5.0
A1EVV74UQYVKRY,B004GCJEZU,4.0
A1EVV74UQYVKRY,B00AYTW80M,3.0
A1EVV74UQYVKRY,B00IL7B2YM,5.0
A1EVV74UQYVKRY,B005EM6IAA,4.0
A1EVV74UQYVKRY,B00CHH0JF0,5.0
A1EVV74UQYVKRY,B005HSDLCO,4.0
A1F7YU6O5RU432,B007OY5V68,5.0
A1F7YU6O5RU432,B003XE3X8Q,5.0
A1F7YU6O5RU432,B008ULPA2O,5.0
A1F7YU6O5RU432,B007W7PIZ6,5.0
A1F7YU6O5RU432,B004CZ9U96,4.0
A1F7YU6O5RU432,B008MF465K,5.0
A1F7YU6O5RU432,B0013G8PTS,5.0
A1F9Z42CFF9IAY,B001TH7GSW,1.0
A1F9Z42CFF9IAY,B004J4VYEY,3.0
A1F9Z42CFF9IAY,B005CT56F8,2.0
A1F9Z42CFF9IAY,B003XIJ3MW,4.0
A1F9Z42CFF9IAY,B007I5JT4S,5.0
A1F9Z42CFF9IAY,B000JV9LUK,5.0
A1GYEGLX3P2Y7P,B00834SJNA,4.0
A1GYEGLX3P2Y7P,B002K9IHGI,5.0
A1GYEGLX3P2Y7P,B007ZZ6OW6,4.0
A1GYEGLX3P2Y7P,B008MWBY6W,5.0
A1GYEGLX3P2Y7P,B003XU6H8I,5.0
A1H7Y5XKPGT0OS,B003M0NURK,4.0
A1H7Y5XKPGT0OS,B009T0NFTA,4.0
A1H7Y5XKPGT0OS,B003ZX8B3W,5.0
A1H7Y5XKPGT0OS,B002VPE1Z2,4.0
A1IH42TUIZ2XJL,B003M0NURK,5.0
A1IH42TUIZ2XJL,B00FH66AW4,5.0
A1IH42TUIZ2XJL,B00426C57O,5.0
A1ITRGMT80D5TK,B007BY0MIS,2.0
A1ITRGMT80D5TK,B00CD8ADKO,4.0
A1IU7S4HCK1XK0,B009NHWVIA,4.0
A1IU7S4HCK1XK0,B006GWO5WK,3.0
A1IU7S4HCK1XK0,B004YHXXKO,4.0
A1IU7S4HCK1XK0,B0079R8KO0,5.0
A1IU7S4HCK1XK0,B002VPE1WK,4.0
A1KT19TDP9VE63,B000HPV3RW,5.0
A1KT19TDP9VE63,B00005N6KG,5.0
A1MZL91Z44RN06,B008ULPE70,5.0
A1MZL91Z44RN06,B002V8C3W2,5.0
