,TR,K,Lamda,mae_k_fold
0,35,5,0.001,0.07844316425152595
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
10,35,20,0.01,0.0326303559498084
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
10,35,20,0.01,0.0326303559498084
11,35,20,0.1,0.1625161748463396
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
10,35,20,0.01,0.0326303559498084
11,35,20,0.1,0.1625161748463396
12,35,25,0.001,0.017379675085629234
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
9,35,20,0.001,0.022630049546030137
10,35,20,0.01,0.0326303559498084
11,35,20,0.1,0.1625161748463396
12,35,25,0.001,0.017379675085629234
13,35,25,0.01,0.027973244194730268
0,35,5,0.001,0.07844316425152595
1,35,5,0.01,0.08668226822394064
2,35,5,0.1,0.20189297970711617
3,35,10,0.001,0.04072859253795896
4,35,10,0.01,0.05232167139626058
5,35,10,0.1,0.17981649107974645
6,35,15,0.001,0.03003235646010062
7,35,15,0.01,0.041059416093762444
8,35,15,0.1,0.16832555324249657
